"","X1st","X2nd","X3rd","X4th","X5th","Gender"
"116",9.15,8.86,8.34,9.04,9.19,"Male"
"117",7.19,7.45,6.63,7.04,7.79,"Male"
"118",6.85,7.41,6.33,6.39,NA,"Male"
"119",6.44,6.14,6.19,6.82,7.43,"Male"
"120",6.56,6.14,6.33,6.75,7.14,"Female"
"121",8,7.9,7.33,7.47,8.07,"Female"
"122",7.15,6.34,6.56,6.68,6.54,"Female"
"123",7.3,7.07,6.67,6,6.11,"Female"
"124",8.44,7.28,7.96,8,8.29,"Female"
"125",6,5.93,3.96,5.43,6.25,"Male"
"126",5.78,6.28,4.3,6.43,6.75,"Male"
"127",6.37,5.9,5.81,6.04,6.64,"Male"
"128",6.19,6.62,6.3,6.54,7.43,"Male"
"129",6.74,6.72,7.04,7.93,8.32,"Male"
"130",5.52,5.72,6.07,7.11,7.79,"Male"
"131",6.3,6.48,5.63,6.21,6.39,"Male"
"132",6.89,6.69,5.67,6.07,7.39,"Male"
"133",7,7.41,6.37,6.57,7.79,"Male"
"134",6.07,6.07,5.89,6.54,7.81,"Male"
"135",7.11,7.34,6.85,7.96,8.14,"Male"
"136",9.15,9.21,9.59,9.31,9.46,"Female"
"137",7.78,6.86,7.26,7.82,8.36,"Male"
"138",7.59,7.76,7,8.32,8.21,"Female"
"139",7.11,7.41,7,7.32,8.32,"Male"
"140",6.26,6,6.07,5.36,6.21,"Male"
"141",8.3,7.97,8.33,8.29,8.61,"Male"
"142",6.96,5.72,6.33,7.18,NA,"Male"
"143",6.96,6.24,6.85,7.21,7.71,"Male"
"144",8.22,8.76,7.74,8.46,8.38,"Female"
"145",7.15,6.79,6.75,6.78,6.62,"Male"
"146",7.07,7.66,7.22,7.86,7.31,"Female"
"147",7.52,7.82,7.67,8.21,8.38,"Male"
"148",6.33,6.76,5.7,5.18,5.31,"Male"
"149",7.33,6.62,6.26,6.33,6.81,"Male"
"150",7.89,7.97,7.59,8.25,9.35,"Male"
"151",6.44,6.43,6.52,7.04,6.62,"Male"
