"","X1st","X2nd","X3rd","X4th","X5th","Gender"
"505",7.89,7.97,7.59,8.25,9.35,"Male"
"506",6.44,6.43,6.52,7.04,6.62,"Male"
"507",6.96,6.41,6.33,5.57,5.35,"Male"
"508",7,6.34,6.07,6.14,7,"Female"
"509",6.26,5.55,6.15,5.04,5.08,"Male"
"510",7.22,6.76,7.48,7.93,7.77,"Male"
"511",6.41,6.48,6.41,6.68,7.08,"Male"
"512",5.96,6.1,6.07,5.36,5.12,"Male"
"513",7.19,7.97,7.3,8.04,8.15,"Male"
"514",7.14,7.79,6.93,7.64,8.65,"Male"
"515",7.19,7.1,6.7,7.36,7.38,"Male"
"516",6.85,6.41,6.19,6.68,6.96,"Male"
"517",8,8.07,7.96,8.46,8.62,"Male"
"518",7.59,7.48,7.41,7.18,7.92,"Male"
"519",6.7,7.34,7.11,7.32,7.35,"Male"
"520",7.59,7.31,7.11,7.68,7.65,"Male"
"521",7.07,6.38,5.3,5.43,4.77,"Male"
"522",6.44,6.48,6.78,6.29,5.81,"Male"
"523",7.19,7,6.74,7.04,7.04,"Male"
"524",6.81,6.38,5.19,5.46,NA,"Female"
"525",6.63,7.03,7,6.75,7.38,"Female"
"526",7.33,7.34,7.22,7.25,7.08,"Male"
"527",7.15,7.79,7.41,NA,7.5,"Female"
"528",7,7.41,7.15,7.04,7.81,"Male"
"529",7.48,7.55,7.67,7.39,8.65,"Female"
"530",7.3,6.41,6.59,7.11,7.38,"Male"
"531",6.3,6.28,5.89,5.71,6.5,"Male"
"532",7.04,7.1,6.81,7,6.92,"Female"
"533",6.7,6.81,6.52,5.39,7,"Male"
"534",8.7,7.83,7.56,8.11,8.07,"Male"
"535",6.81,7.07,5.7,6.29,8.07,"Male"
"536",6.37,5.59,6.33,7.07,7.81,"Female"
"537",6.11,6.55,5.56,6.86,7,"Male"
"538",7.89,8.72,8.19,8.54,9.11,"Male"
"539",7.89,7.97,6.81,8.54,8,"Male"
"540",7.37,5.86,7,7.82,8.21,"Female"
"541",7.48,7.69,7.11,7.93,8.21,"Female"
"542",9.15,8.86,8.34,9.04,9.19,"Male"
"543",7.19,7.45,6.63,7.04,7.79,"Male"
"544",6.85,7.41,6.33,6.39,NA,"Male"
"545",6.44,6.14,6.19,6.82,7.43,"Male"
"546",6.56,6.14,6.33,6.75,7.14,"Female"
"547",8,7.9,7.33,7.47,8.07,"Female"
"548",7.15,6.34,6.56,6.68,6.54,"Female"
"549",7.3,7.07,6.67,6,6.11,"Female"
"550",8.44,7.28,7.96,8,8.29,"Female"
"551",6,5.93,3.96,5.43,6.25,"Male"
"552",5.78,6.28,4.3,6.43,6.75,"Male"
"553",6.37,5.9,5.81,6.04,6.64,"Male"
"554",6.19,6.62,6.3,6.54,7.43,"Male"
"555",6.74,6.72,7.04,7.93,8.32,"Male"
"556",5.52,5.72,6.07,7.11,7.79,"Male"
"557",6.3,6.48,5.63,6.21,6.39,"Male"
"558",6.89,6.69,5.67,6.07,7.39,"Male"
"559",7,7.41,6.37,6.57,7.79,"Male"
"560",6.07,6.07,5.89,6.54,7.81,"Male"
"561",7.11,7.34,6.85,7.96,8.14,"Male"
"562",9.15,9.21,9.59,9.31,9.46,"Female"
"563",7.78,6.86,7.26,7.82,8.36,"Male"
"564",7.59,7.76,7,8.32,8.21,"Female"
"565",7.11,7.41,7,7.32,8.32,"Male"
"566",6.26,6,6.07,5.36,6.21,"Male"
"567",8.3,7.97,8.33,8.29,8.61,"Male"
"568",6.96,5.72,6.33,7.18,NA,"Male"
"569",6.96,6.24,6.85,7.21,7.71,"Male"
"570",8.22,8.76,7.74,8.46,8.38,"Female"
"571",7.15,6.79,6.75,6.78,6.62,"Male"
"572",7.07,7.66,7.22,7.86,7.31,"Female"
"573",7.52,7.82,7.67,8.21,8.38,"Male"
"574",6.33,6.76,5.7,5.18,5.31,"Male"
"575",7.33,6.62,6.26,6.33,6.81,"Male"
"576",7.89,7.97,7.59,8.25,9.35,"Male"
"577",6.44,6.43,6.52,7.04,6.62,"Male"
"578",6.96,6.41,6.33,5.57,5.35,"Male"
"579",7,6.34,6.07,6.14,7,"Female"
"580",6.26,5.55,6.15,5.04,5.08,"Male"
"581",7.22,6.76,7.48,7.93,7.77,"Male"
"582",6.41,6.48,6.41,6.68,7.08,"Male"
"583",5.96,6.1,6.07,5.36,5.12,"Male"
"584",7.19,7.97,7.3,8.04,8.15,"Male"
"585",7.14,7.79,6.93,7.64,8.65,"Male"
"586",7.19,7.1,6.7,7.36,7.38,"Male"
"587",6.85,6.41,6.19,6.68,6.96,"Male"
"588",8,8.07,7.96,8.46,8.62,"Male"
"589",7.59,7.48,7.41,7.18,7.92,"Male"
"590",6.7,7.34,7.11,7.32,7.35,"Male"
"591",7.59,7.31,7.11,7.68,7.65,"Male"
"592",7.07,6.38,5.3,5.43,4.77,"Male"
"593",6.44,6.48,6.78,6.29,5.81,"Male"
"594",7.19,7,6.74,7.04,7.04,"Male"
"595",6.81,6.38,5.19,5.46,NA,"Female"
"596",6.63,7.03,7,6.75,7.38,"Female"
"597",7.33,7.34,7.22,7.25,7.08,"Male"
"598",7.15,7.79,7.41,NA,7.5,"Female"
"599",7,7.41,7.15,7.04,7.81,"Male"
"600",7.48,7.55,7.67,7.39,8.65,"Female"
"601",7.3,6.41,6.59,7.11,7.38,"Male"
"602",6.3,6.28,5.89,5.71,6.5,"Male"
"603",7.04,7.1,6.81,7,6.92,"Female"
"604",6.7,6.81,6.52,5.39,7,"Male"
"605",8.7,7.83,7.56,8.11,8.07,"Male"
"606",6.81,7.07,5.7,6.29,8.07,"Male"
"607",6.37,5.59,6.33,7.07,7.81,"Female"
"608",6.11,6.55,5.56,6.86,7,"Male"
"609",7.89,8.72,8.19,8.54,9.11,"Male"
"610",7.89,7.97,6.81,8.54,8,"Male"
"611",7.37,5.86,7,7.82,8.21,"Female"
"612",7.48,7.69,7.11,7.93,8.21,"Female"
"613",9.15,8.86,8.34,9.04,9.19,"Male"
"614",7.19,7.45,6.63,7.04,7.79,"Male"
"615",6.85,7.41,6.33,6.39,NA,"Male"
"616",6.44,6.14,6.19,6.82,7.43,"Male"
"617",6.56,6.14,6.33,6.75,7.14,"Female"
"618",8,7.9,7.33,7.47,8.07,"Female"
"619",7.15,6.34,6.56,6.68,6.54,"Female"
"620",7.3,7.07,6.67,6,6.11,"Female"
"621",8.44,7.28,7.96,8,8.29,"Female"
"622",6,5.93,3.96,5.43,6.25,"Male"
"623",5.78,6.28,4.3,6.43,6.75,"Male"
"624",6.37,5.9,5.81,6.04,6.64,"Male"
"625",6.19,6.62,6.3,6.54,7.43,"Male"
"626",6.74,6.72,7.04,7.93,8.32,"Male"
"627",5.52,5.72,6.07,7.11,7.79,"Male"
"628",6.3,6.48,5.63,6.21,6.39,"Male"
"629",6.89,6.69,5.67,6.07,7.39,"Male"
"630",7,7.41,6.37,6.57,7.79,"Male"
"631",6.07,6.07,5.89,6.54,7.81,"Male"
"632",7.11,7.34,6.85,7.96,8.14,"Male"
"633",9.15,9.21,9.59,9.31,9.46,"Female"
"634",7.78,6.86,7.26,7.82,8.36,"Male"
"635",7.59,7.76,7,8.32,8.21,"Female"
"636",7.11,7.41,7,7.32,8.32,"Male"
"637",6.26,6,6.07,5.36,6.21,"Male"
"638",8.3,7.97,8.33,8.29,8.61,"Male"
"639",6.96,5.72,6.33,7.18,NA,"Male"
"640",6.96,6.24,6.85,7.21,7.71,"Male"
"641",8.22,8.76,7.74,8.46,8.38,"Female"
"642",7.15,6.79,6.75,6.78,6.62,"Male"
"643",7.07,7.66,7.22,7.86,7.31,"Female"
"644",7.52,7.82,7.67,8.21,8.38,"Male"
"645",6.33,6.76,5.7,5.18,5.31,"Male"
"646",7.33,6.62,6.26,6.33,6.81,"Male"
"647",7.89,7.97,7.59,8.25,9.35,"Male"
"648",6.44,6.43,6.52,7.04,6.62,"Male"
"649",6.96,6.41,6.33,5.57,5.35,"Male"
"650",7,6.34,6.07,6.14,7,"Female"
"651",6.26,5.55,6.15,5.04,5.08,"Male"
"652",7.22,6.76,7.48,7.93,7.77,"Male"
"653",6.41,6.48,6.41,6.68,7.08,"Male"
"654",5.96,6.1,6.07,5.36,5.12,"Male"
"655",7.19,7.97,7.3,8.04,8.15,"Male"
"656",7.14,7.79,6.93,7.64,8.65,"Male"
"657",7.19,7.1,6.7,7.36,7.38,"Male"
"658",6.85,6.41,6.19,6.68,6.96,"Male"
"659",8,8.07,7.96,8.46,8.62,"Male"
"660",7.59,7.48,7.41,7.18,7.92,"Male"
"661",6.7,7.34,7.11,7.32,7.35,"Male"
"662",7.59,7.31,7.11,7.68,7.65,"Male"
"663",7.07,6.38,5.3,5.43,4.77,"Male"
"664",6.44,6.48,6.78,6.29,5.81,"Male"
"665",7.19,7,6.74,7.04,7.04,"Male"
"666",6.81,6.38,5.19,5.46,NA,"Female"
"667",6.63,7.03,7,6.75,7.38,"Female"
"668",7.33,7.34,7.22,7.25,7.08,"Male"
"669",7.15,7.79,7.41,NA,7.5,"Female"
"670",7,7.41,7.15,7.04,7.81,"Male"
"671",7.48,7.55,7.67,7.39,8.65,"Female"
"672",7.3,6.41,6.59,7.11,7.38,"Male"
"673",6.3,6.28,5.89,5.71,6.5,"Male"
"674",7.04,7.1,6.81,7,6.92,"Female"
"675",6.7,6.81,6.52,5.39,7,"Male"
"676",8.7,7.83,7.56,8.11,8.07,"Male"
"677",6.81,7.07,5.7,6.29,8.07,"Male"
"678",6.37,5.59,6.33,7.07,7.81,"Female"
"679",6.11,6.55,5.56,6.86,7,"Male"
"680",7.89,8.72,8.19,8.54,9.11,"Male"
"681",7.89,7.97,6.81,8.54,8,"Male"
"682",7.37,5.86,7,7.82,8.21,"Female"
"683",7.48,7.69,7.11,7.93,8.21,"Female"
"684",9.15,8.86,8.34,9.04,9.19,"Male"
"685",7.19,7.45,6.63,7.04,7.79,"Male"
"686",6.85,7.41,6.33,6.39,NA,"Male"
"687",6.44,6.14,6.19,6.82,7.43,"Male"
"688",6.56,6.14,6.33,6.75,7.14,"Female"
"689",8,7.9,7.33,7.47,8.07,"Female"
"690",7.15,6.34,6.56,6.68,6.54,"Female"
"691",7.3,7.07,6.67,6,6.11,"Female"
"692",8.44,7.28,7.96,8,8.29,"Female"
"693",6,5.93,3.96,5.43,6.25,"Male"
"694",5.78,6.28,4.3,6.43,6.75,"Male"
"695",6.37,5.9,5.81,6.04,6.64,"Male"
"696",6.19,6.62,6.3,6.54,7.43,"Male"
"697",6.74,6.72,7.04,7.93,8.32,"Male"
"698",5.52,5.72,6.07,7.11,7.79,"Male"
"699",6.3,6.48,5.63,6.21,6.39,"Male"
"700",6.89,6.69,5.67,6.07,7.39,"Male"
"701",7,7.41,6.37,6.57,7.79,"Male"
"702",6.07,6.07,5.89,6.54,7.81,"Male"
"703",7.11,7.34,6.85,7.96,8.14,"Male"
"704",9.15,9.21,9.59,9.31,9.46,"Female"
"705",7.78,6.86,7.26,7.82,8.36,"Male"
"706",7.59,7.76,7,8.32,8.21,"Female"
"707",7.11,7.41,7,7.32,8.32,"Male"
"708",6.26,6,6.07,5.36,6.21,"Male"
"709",8.3,7.97,8.33,8.29,8.61,"Male"
"710",6.96,5.72,6.33,7.18,NA,"Male"
"711",6.96,6.24,6.85,7.21,7.71,"Male"
"712",8.22,8.76,7.74,8.46,8.38,"Female"
"713",7.15,6.79,6.75,6.78,6.62,"Male"
"714",7.07,7.66,7.22,7.86,7.31,"Female"
"715",7.52,7.82,7.67,8.21,8.38,"Male"
"716",6.33,6.76,5.7,5.18,5.31,"Male"
"717",7.33,6.62,6.26,6.33,6.81,"Male"
"718",7.89,7.97,7.59,8.25,9.35,"Male"
"719",6.44,6.43,6.52,7.04,6.62,"Male"
"720",6.96,6.41,6.33,5.57,5.35,"Male"
"721",7,6.34,6.07,6.14,7,"Female"
"722",6.26,5.55,6.15,5.04,5.08,"Male"
"723",7.22,6.76,7.48,7.93,7.77,"Male"
"724",6.41,6.48,6.41,6.68,7.08,"Male"
"725",5.96,6.1,6.07,5.36,5.12,"Male"
"726",7.19,7.97,7.3,8.04,8.15,"Male"
"727",7.14,7.79,6.93,7.64,8.65,"Male"
"728",7.19,7.1,6.7,7.36,7.38,"Male"
"729",6.85,6.41,6.19,6.68,6.96,"Male"
"730",8,8.07,7.96,8.46,8.62,"Male"
"731",7.59,7.48,7.41,7.18,7.92,"Male"
"732",6.7,7.34,7.11,7.32,7.35,"Male"
"733",7.59,7.31,7.11,7.68,7.65,"Male"
"734",7.07,6.38,5.3,5.43,4.77,"Male"
"735",6.44,6.48,6.78,6.29,5.81,"Male"
"736",7.19,7,6.74,7.04,7.04,"Male"
"737",6.81,6.38,5.19,5.46,NA,"Female"
"738",6.63,7.03,7,6.75,7.38,"Female"
"739",7.33,7.34,7.22,7.25,7.08,"Male"
"740",7.15,7.79,7.41,NA,7.5,"Female"
"741",7,7.41,7.15,7.04,7.81,"Male"
"742",7.48,7.55,7.67,7.39,8.65,"Female"
"743",7.3,6.41,6.59,7.11,7.38,"Male"
"744",6.3,6.28,5.89,5.71,6.5,"Male"
"745",7.04,7.1,6.81,7,6.92,"Female"
"746",6.7,6.81,6.52,5.39,7,"Male"
"747",8.7,7.83,7.56,8.11,8.07,"Male"
"748",6.81,7.07,5.7,6.29,8.07,"Male"
"749",6.37,5.59,6.33,7.07,7.81,"Female"
"750",6.11,6.55,5.56,6.86,7,"Male"
"751",7.89,8.72,8.19,8.54,9.11,"Male"
"752",7.89,7.97,6.81,8.54,8,"Male"
"753",7.37,5.86,7,7.82,8.21,"Female"
"754",7.48,7.69,7.11,7.93,8.21,"Female"
"755",9.15,8.86,8.34,9.04,9.19,"Male"
"756",7.19,7.45,6.63,7.04,7.79,"Male"
"757",6.85,7.41,6.33,6.39,NA,"Male"
"758",6.44,6.14,6.19,6.82,7.43,"Male"
"759",6.56,6.14,6.33,6.75,7.14,"Female"
"760",8,7.9,7.33,7.47,8.07,"Female"
"761",7.15,6.34,6.56,6.68,6.54,"Female"
"762",7.3,7.07,6.67,6,6.11,"Female"
"763",8.44,7.28,7.96,8,8.29,"Female"
"764",6,5.93,3.96,5.43,6.25,"Male"
"765",5.78,6.28,4.3,6.43,6.75,"Male"
"766",6.37,5.9,5.81,6.04,6.64,"Male"
"767",6.19,6.62,6.3,6.54,7.43,"Male"
"768",6.74,6.72,7.04,7.93,8.32,"Male"
"769",5.52,5.72,6.07,7.11,7.79,"Male"
"770",6.3,6.48,5.63,6.21,6.39,"Male"
"771",6.89,6.69,5.67,6.07,7.39,"Male"
"772",7,7.41,6.37,6.57,7.79,"Male"
"773",6.07,6.07,5.89,6.54,7.81,"Male"
"774",7.11,7.34,6.85,7.96,8.14,"Male"
"775",9.15,9.21,9.59,9.31,9.46,"Female"
"776",7.78,6.86,7.26,7.82,8.36,"Male"
"777",7.59,7.76,7,8.32,8.21,"Female"
"778",7.11,7.41,7,7.32,8.32,"Male"
"779",6.26,6,6.07,5.36,6.21,"Male"
"780",8.3,7.97,8.33,8.29,8.61,"Male"
"781",6.96,5.72,6.33,7.18,NA,"Male"
"782",6.96,6.24,6.85,7.21,7.71,"Male"
"783",8.22,8.76,7.74,8.46,8.38,"Female"
"784",7.15,6.79,6.75,6.78,6.62,"Male"
"785",7.07,7.66,7.22,7.86,7.31,"Female"
"786",7.52,7.82,7.67,8.21,8.38,"Male"
"787",6.33,6.76,5.7,5.18,5.31,"Male"
"788",7.33,6.62,6.26,6.33,6.81,"Male"
"789",7.89,7.97,7.59,8.25,9.35,"Male"
"790",6.44,6.43,6.52,7.04,6.62,"Male"
"791",6.96,6.41,6.33,5.57,5.35,"Male"
"792",7,6.34,6.07,6.14,7,"Female"
"793",6.26,5.55,6.15,5.04,5.08,"Male"
"794",7.22,6.76,7.48,7.93,7.77,"Male"
"795",6.41,6.48,6.41,6.68,7.08,"Male"
"796",5.96,6.1,6.07,5.36,5.12,"Male"
"797",7.19,7.97,7.3,8.04,8.15,"Male"
"798",7.14,7.79,6.93,7.64,8.65,"Male"
"799",7.19,7.1,6.7,7.36,7.38,"Male"
"800",6.85,6.41,6.19,6.68,6.96,"Male"
"801",8,8.07,7.96,8.46,8.62,"Male"
"802",7.59,7.48,7.41,7.18,7.92,"Male"
"803",6.7,7.34,7.11,7.32,7.35,"Male"
"804",7.59,7.31,7.11,7.68,7.65,"Male"
"805",7.07,6.38,5.3,5.43,4.77,"Male"
"806",6.44,6.48,6.78,6.29,5.81,"Male"
"807",7.19,7,6.74,7.04,7.04,"Male"
"808",6.81,6.38,5.19,5.46,NA,"Female"
"809",6.63,7.03,7,6.75,7.38,"Female"
"810",7.33,7.34,7.22,7.25,7.08,"Male"
"811",7.15,7.79,7.41,NA,7.5,"Female"
"812",7,7.41,7.15,7.04,7.81,"Male"
"813",7.48,7.55,7.67,7.39,8.65,"Female"
"814",7.3,6.41,6.59,7.11,7.38,"Male"
"815",6.3,6.28,5.89,5.71,6.5,"Male"
"816",7.04,7.1,6.81,7,6.92,"Female"
"817",6.7,6.81,6.52,5.39,7,"Male"
"818",8.7,7.83,7.56,8.11,8.07,"Male"
"819",6.81,7.07,5.7,6.29,8.07,"Male"
"820",6.37,5.59,6.33,7.07,7.81,"Female"
"821",6.11,6.55,5.56,6.86,7,"Male"
"822",7.89,8.72,8.19,8.54,9.11,"Male"
"823",7.89,7.97,6.81,8.54,8,"Male"
"824",7.37,5.86,7,7.82,8.21,"Female"
"825",7.48,7.69,7.11,7.93,8.21,"Female"
"826",9.15,8.86,8.34,9.04,9.19,"Male"
"827",7.19,7.45,6.63,7.04,7.79,"Male"
"828",6.85,7.41,6.33,6.39,NA,"Male"
"829",6.44,6.14,6.19,6.82,7.43,"Male"
"830",6.56,6.14,6.33,6.75,7.14,"Female"
"831",8,7.9,7.33,7.47,8.07,"Female"
"832",7.15,6.34,6.56,6.68,6.54,"Female"
"833",7.3,7.07,6.67,6,6.11,"Female"
"834",8.44,7.28,7.96,8,8.29,"Female"
"835",6,5.93,3.96,5.43,6.25,"Male"
"836",5.78,6.28,4.3,6.43,6.75,"Male"
"837",6.37,5.9,5.81,6.04,6.64,"Male"
"838",6.19,6.62,6.3,6.54,7.43,"Male"
"839",6.74,6.72,7.04,7.93,8.32,"Male"
"840",5.52,5.72,6.07,7.11,7.79,"Male"
"841",6.3,6.48,5.63,6.21,6.39,"Male"
"842",6.89,6.69,5.67,6.07,7.39,"Male"
"843",7,7.41,6.37,6.57,7.79,"Male"
"844",6.07,6.07,5.89,6.54,7.81,"Male"
"845",7.11,7.34,6.85,7.96,8.14,"Male"
"846",9.15,9.21,9.59,9.31,9.46,"Female"
"847",7.78,6.86,7.26,7.82,8.36,"Male"
"848",7.59,7.76,7,8.32,8.21,"Female"
"849",7.11,7.41,7,7.32,8.32,"Male"
"850",6.26,6,6.07,5.36,6.21,"Male"
"851",8.3,7.97,8.33,8.29,8.61,"Male"
"852",6.96,5.72,6.33,7.18,NA,"Male"
"853",6.96,6.24,6.85,7.21,7.71,"Male"
"854",8.22,8.76,7.74,8.46,8.38,"Female"
"855",7.15,6.79,6.75,6.78,6.62,"Male"
"856",7.07,7.66,7.22,7.86,7.31,"Female"
"857",7.52,7.82,7.67,8.21,8.38,"Male"
"858",6.33,6.76,5.7,5.18,5.31,"Male"
"859",7.33,6.62,6.26,6.33,6.81,"Male"
"860",7.89,7.97,7.59,8.25,9.35,"Male"
"861",6.44,6.43,6.52,7.04,6.62,"Male"
"862",6.96,6.41,6.33,5.57,5.35,"Male"
"863",7,6.34,6.07,6.14,7,"Female"
"864",6.26,5.55,6.15,5.04,5.08,"Male"
"865",7.22,6.76,7.48,7.93,7.77,"Male"
"866",6.41,6.48,6.41,6.68,7.08,"Male"
"867",5.96,6.1,6.07,5.36,5.12,"Male"
"868",7.19,7.97,7.3,8.04,8.15,"Male"
"869",7.14,7.79,6.93,7.64,8.65,"Male"
"870",7.19,7.1,6.7,7.36,7.38,"Male"
"871",6.85,6.41,6.19,6.68,6.96,"Male"
"872",8,8.07,7.96,8.46,8.62,"Male"
"873",7.59,7.48,7.41,7.18,7.92,"Male"
"874",6.7,7.34,7.11,7.32,7.35,"Male"
"875",7.59,7.31,7.11,7.68,7.65,"Male"
"876",7.07,6.38,5.3,5.43,4.77,"Male"
"877",6.44,6.48,6.78,6.29,5.81,"Male"
"878",7.19,7,6.74,7.04,7.04,"Male"
"879",6.81,6.38,5.19,5.46,NA,"Female"
"880",6.63,7.03,7,6.75,7.38,"Female"
"881",7.33,7.34,7.22,7.25,7.08,"Male"
"882",7.15,7.79,7.41,NA,7.5,"Female"
"883",7,7.41,7.15,7.04,7.81,"Male"
"884",7.48,7.55,7.67,7.39,8.65,"Female"
"885",7.3,6.41,6.59,7.11,7.38,"Male"
"886",6.3,6.28,5.89,5.71,6.5,"Male"
"887",7.04,7.1,6.81,7,6.92,"Female"
"888",6.7,6.81,6.52,5.39,7,"Male"
"889",8.7,7.83,7.56,8.11,8.07,"Male"
"890",6.81,7.07,5.7,6.29,8.07,"Male"
"891",6.37,5.59,6.33,7.07,7.81,"Female"
"892",6.11,6.55,5.56,6.86,7,"Male"
"893",7.89,8.72,8.19,8.54,9.11,"Male"
"894",7.89,7.97,6.81,8.54,8,"Male"
"895",7.37,5.86,7,7.82,8.21,"Female"
"896",7.48,7.69,7.11,7.93,8.21,"Female"
"897",9.15,8.86,8.34,9.04,9.19,"Male"
"898",7.19,7.45,6.63,7.04,7.79,"Male"
"899",6.85,7.41,6.33,6.39,NA,"Male"
"900",6.44,6.14,6.19,6.82,7.43,"Male"
"901",6.56,6.14,6.33,6.75,7.14,"Female"
"902",8,7.9,7.33,7.47,8.07,"Female"
"903",7.15,6.34,6.56,6.68,6.54,"Female"
"904",7.3,7.07,6.67,6,6.11,"Female"
"905",8.44,7.28,7.96,8,8.29,"Female"
"906",6,5.93,3.96,5.43,6.25,"Male"
"907",5.78,6.28,4.3,6.43,6.75,"Male"
"908",6.37,5.9,5.81,6.04,6.64,"Male"
"909",6.19,6.62,6.3,6.54,7.43,"Male"
"910",6.74,6.72,7.04,7.93,8.32,"Male"
"911",5.52,5.72,6.07,7.11,7.79,"Male"
"912",6.3,6.48,5.63,6.21,6.39,"Male"
"913",6.89,6.69,5.67,6.07,7.39,"Male"
"914",7,7.41,6.37,6.57,7.79,"Male"
"915",6.07,6.07,5.89,6.54,7.81,"Male"
"916",7.11,7.34,6.85,7.96,8.14,"Male"
"917",9.15,9.21,9.59,9.31,9.46,"Female"
"918",7.78,6.86,7.26,7.82,8.36,"Male"
"919",7.59,7.76,7,8.32,8.21,"Female"
"920",7.11,7.41,7,7.32,8.32,"Male"
"921",6.26,6,6.07,5.36,6.21,"Male"
"922",8.3,7.97,8.33,8.29,8.61,"Male"
"923",6.96,5.72,6.33,7.18,NA,"Male"
"924",6.96,6.24,6.85,7.21,7.71,"Male"
"925",8.22,8.76,7.74,8.46,8.38,"Female"
"926",7.15,6.79,6.75,6.78,6.62,"Male"
"927",7.07,7.66,7.22,7.86,7.31,"Female"
"928",7.52,7.82,7.67,8.21,8.38,"Male"
"929",6.33,6.76,5.7,5.18,5.31,"Male"
"930",7.33,6.62,6.26,6.33,6.81,"Male"
"931",7.89,7.97,7.59,8.25,9.35,"Male"
"932",6.44,6.43,6.52,7.04,6.62,"Male"
"933",6.96,6.41,6.33,5.57,5.35,"Male"
"934",7,6.34,6.07,6.14,7,"Female"
"935",6.26,5.55,6.15,5.04,5.08,"Male"
"936",7.22,6.76,7.48,7.93,7.77,"Male"
"937",6.41,6.48,6.41,6.68,7.08,"Male"
"938",5.96,6.1,6.07,5.36,5.12,"Male"
"939",7.19,7.97,7.3,8.04,8.15,"Male"
"940",7.14,7.79,6.93,7.64,8.65,"Male"
"941",7.19,7.1,6.7,7.36,7.38,"Male"
"942",6.85,6.41,6.19,6.68,6.96,"Male"
"943",8,8.07,7.96,8.46,8.62,"Male"
"944",7.59,7.48,7.41,7.18,7.92,"Male"
"945",6.7,7.34,7.11,7.32,7.35,"Male"
"946",7.59,7.31,7.11,7.68,7.65,"Male"
"947",7.07,6.38,5.3,5.43,4.77,"Male"
"948",6.44,6.48,6.78,6.29,5.81,"Male"
"949",7.19,7,6.74,7.04,7.04,"Male"
"950",6.81,6.38,5.19,5.46,NA,"Female"
"951",6.63,7.03,7,6.75,7.38,"Female"
"952",7.33,7.34,7.22,7.25,7.08,"Male"
"953",7.15,7.79,7.41,NA,7.5,"Female"
"954",7,7.41,7.15,7.04,7.81,"Male"
"955",7.48,7.55,7.67,7.39,8.65,"Female"
"956",7.3,6.41,6.59,7.11,7.38,"Male"
"957",6.3,6.28,5.89,5.71,6.5,"Male"
"958",7.04,7.1,6.81,7,6.92,"Female"
"959",6.7,6.81,6.52,5.39,7,"Male"
"960",8.7,7.83,7.56,8.11,8.07,"Male"
"961",6.81,7.07,5.7,6.29,8.07,"Male"
"962",6.37,5.59,6.33,7.07,7.81,"Female"
"963",6.11,6.55,5.56,6.86,7,"Male"
"964",7.89,8.72,8.19,8.54,9.11,"Male"
"965",7.89,7.97,6.81,8.54,8,"Male"
"966",7.37,5.86,7,7.82,8.21,"Female"
"967",7.48,7.69,7.11,7.93,8.21,"Female"
"968",9.15,8.86,8.34,9.04,9.19,"Male"
"969",7.19,7.45,6.63,7.04,7.79,"Male"
"970",6.85,7.41,6.33,6.39,NA,"Male"
"971",6.44,6.14,6.19,6.82,7.43,"Male"
"972",6.56,6.14,6.33,6.75,7.14,"Female"
"973",8,7.9,7.33,7.47,8.07,"Female"
"974",7.15,6.34,6.56,6.68,6.54,"Female"
"975",7.3,7.07,6.67,6,6.11,"Female"
"976",8.44,7.28,7.96,8,8.29,"Female"
"977",6,5.93,3.96,5.43,6.25,"Male"
"978",5.78,6.28,4.3,6.43,6.75,"Male"
"979",6.37,5.9,5.81,6.04,6.64,"Male"
"980",6.19,6.62,6.3,6.54,7.43,"Male"
"981",6.74,6.72,7.04,7.93,8.32,"Male"
"982",5.52,5.72,6.07,7.11,7.79,"Male"
"983",6.3,6.48,5.63,6.21,6.39,"Male"
"984",6.89,6.69,5.67,6.07,7.39,"Male"
"985",7,7.41,6.37,6.57,7.79,"Male"
"986",6.07,6.07,5.89,6.54,7.81,"Male"
"987",7.11,7.34,6.85,7.96,8.14,"Male"
"988",9.15,9.21,9.59,9.31,9.46,"Female"
"989",7.78,6.86,7.26,7.82,8.36,"Male"
"990",7.59,7.76,7,8.32,8.21,"Female"
"991",7.11,7.41,7,7.32,8.32,"Male"
"992",6.26,6,6.07,5.36,6.21,"Male"
"993",8.3,7.97,8.33,8.29,8.61,"Male"
"994",6.96,5.72,6.33,7.18,NA,"Male"
"995",6.96,6.24,6.85,7.21,7.71,"Male"
"996",8.22,8.76,7.74,8.46,8.38,"Female"
"997",7.15,6.79,6.75,6.78,6.62,"Male"
"998",7.07,7.66,7.22,7.86,7.31,"Female"
"999",7.52,7.82,7.67,8.21,8.38,"Male"
"1000",6.33,6.76,5.7,5.18,5.31,"Male"
"1001",7.33,6.62,6.26,6.33,6.81,"Male"
"1002",7.89,7.97,7.59,8.25,9.35,"Male"
"1003",6.44,6.43,6.52,7.04,6.62,"Male"
"1004",6.96,6.41,6.33,5.57,5.35,"Male"
"1005",7,6.34,6.07,6.14,7,"Female"
"1006",6.26,5.55,6.15,5.04,5.08,"Male"
"1007",7.22,6.76,7.48,7.93,7.77,"Male"
"1008",6.41,6.48,6.41,6.68,7.08,"Male"
"1009",5.96,6.1,6.07,5.36,5.12,"Male"
"1010",7.19,7.97,7.3,8.04,8.15,"Male"
"1011",7.14,7.79,6.93,7.64,8.65,"Male"
"1012",7.19,7.1,6.7,7.36,7.38,"Male"
"1013",6.85,6.41,6.19,6.68,6.96,"Male"
